caseid,split
1,validation
4,development
5,development
10,validation
12,validation
16,validation
17,development
19,validation
22,validation
25,development
27,validation
29,validation
34,validation
41,development
43,validation
50,validation
52,validation
53,development
55,validation
58,validation
60,validation
61,validation
64,validation
65,development
66,development
70,development
79,development
83,development
84,development
87,development
89,validation
94,development
96,validation
97,validation
98,development
101,development
105,validation
108,validation
110,validation
111,development
112,validation
114,development
116,validation
117,development
118,development
119,validation
124,development
125,development
135,validation
137,validation
138,development
140,validation
142,validation
143,development
146,development
148,validation
156,development
158,development
161,validation
166,development
175,development
177,validation
178,validation
181,development
184,development
190,development
191,validation
195,validation
198,development
202,development
203,development
206,validation
208,development
210,validation
222,development
229,development
232,validation
233,validation
234,development
236,validation
237,development
239,development
244,development
250,development
251,development
252,validation
256,validation
261,development
263,validation
266,development
268,development
269,development
279,development
283,validation
284,development
286,development
287,development
295,development
300,validation
303,development
304,development
306,validation
308,development
309,development
312,validation
321,development
323,validation
327,development
330,development
337,validation
343,validation
345,validation
348,development
349,validation
355,development
357,development
362,validation
363,development
367,validation
369,validation
370,development
375,validation
382,validation
383,development
384,development
387,validation
388,validation
390,development
397,development
398,development
404,development
406,development
409,development
415,development
417,validation
418,validation
427,validation
431,validation
439,development
441,development
442,development
445,validation
448,development
449,development
451,development
452,validation
462,development
466,validation
469,development
472,validation
476,development
486,validation
490,validation
492,development
499,development
505,validation
512,development
516,validation
519,development
520,validation
521,development
526,development
530,validation
535,development
536,development
541,validation
543,development
544,development
550,development
551,development
553,validation
559,validation
562,validation
564,validation
567,development
568,validation
573,development
576,validation
577,development
582,development
584,validation
587,development
590,validation
594,development
610,validation
611,validation
612,validation
616,validation
617,validation
620,development
627,development
629,validation
631,development
644,development
649,development
650,development
652,development
655,development
659,development
663,validation
665,development
666,development
671,validation
676,development
680,validation
683,validation
687,validation
691,development
697,development
698,validation
702,validation
703,validation
706,validation
711,development
719,validation
721,validation
722,validation
725,development
728,validation
730,development
733,development
734,development
739,development
740,validation
742,validation
743,development
748,validation
750,validation
751,validation
752,development
755,development
758,development
762,development
763,validation
764,development
767,development
774,development
775,development
776,development
779,validation
781,development
783,development
788,validation
792,development
793,validation
794,development
795,development
797,validation
800,validation
802,validation
807,development
808,validation
813,development
814,validation
815,development
818,development
819,validation
822,development
830,validation
831,development
833,validation
843,validation
844,validation
846,validation
847,development
851,validation
852,development
853,development
859,validation
864,development
865,validation
866,validation
869,development
870,validation
871,development
872,development
876,development
879,validation
880,validation
883,validation
885,validation
886,development
887,validation
890,development
892,validation
898,development
907,validation
913,validation
916,validation
917,validation
919,validation
920,development
931,validation
936,development
937,development
939,development
944,development
945,validation
947,validation
948,development
954,development
957,development
958,validation
963,validation
969,validation
971,validation
976,development
979,development
984,development
985,development
986,development
988,development
991,development
992,development
994,development
1001,development
1003,validation
1005,development
1006,development
1012,validation
1013,validation
1017,validation
1018,development
1020,validation
1022,development
1024,validation
1025,development
1026,validation
1027,validation
1029,validation
1030,validation
1032,development
1033,development
1034,validation
1037,development
1038,development
1039,validation
1040,development
1043,development
1044,development
1046,development
1047,validation
1049,validation
1050,validation
1051,development
1055,development
1056,development
1061,validation
1063,validation
1065,development
1069,development
1076,validation
1078,development
1081,development
1083,development
1084,development
1086,validation
1088,validation
1090,development
1093,development
1095,validation
1098,development
1108,validation
1113,development
1114,development
1123,development
1124,development
1125,validation
1127,validation
1132,development
1138,development
1159,development
1160,validation
1165,development
1166,development
1170,validation
1176,validation
1180,development
1181,development
1182,development
1185,validation
1187,development
1189,development
1191,development
1193,validation
1194,validation
1199,validation
1200,validation
1201,development
1204,development
1205,validation
1208,validation
1209,validation
1213,development
1215,validation
1216,validation
1217,validation
1219,validation
1224,validation
1225,validation
1228,validation
1229,validation
1230,development
1231,validation
1232,validation
1236,validation
1239,development
1244,development
1248,validation
1249,validation
1256,validation
1261,development
1263,development
1267,validation
1272,development
1275,development
1277,development
1283,validation
1285,development
1286,development
1290,validation
1291,validation
1292,validation
1293,development
1298,development
1299,validation
1302,development
1305,validation
1307,development
1309,validation
1311,validation
1313,validation
1315,development
1316,development
1320,development
1321,validation
1323,validation
1324,development
1325,development
1327,development
1333,development
1335,validation
1339,validation
1340,development
1341,development
1343,development
1344,development
1350,validation
1353,development
1356,validation
1358,validation
1359,development
1362,development
1364,development
1365,development
1367,development
1368,development
1374,development
1381,development
1383,validation
1386,development
1389,development
1396,validation
1397,validation
1399,validation
1402,validation
1403,development
1407,validation
1414,validation
1415,validation
1416,validation
1421,validation
1422,development
1426,validation
1428,validation
1434,development
1436,development
1438,development
1439,development
1442,development
1446,development
1451,validation
1454,validation
1458,validation
1463,validation
1465,development
1468,validation
1469,validation
1472,development
1475,development
1478,development
1479,validation
1482,development
1485,validation
1486,validation
1489,development
1492,development
1493,development
1498,development
1512,development
1515,validation
1521,validation
1522,development
1523,validation
1525,development
1526,validation
1527,development
1536,development
1537,validation
1539,validation
1540,validation
1541,development
1542,validation
1543,validation
1545,validation
1548,development
1549,development
1553,validation
1556,development
1558,validation
1561,validation
1562,development
1564,development
1568,development
1574,development
1580,development
1581,validation
1583,development
1586,validation
1590,validation
1591,development
1594,validation
1595,development
1596,development
1597,validation
1599,development
1600,validation
1602,development
1605,validation
1608,development
1610,development
1613,development
1614,development
1616,development
1620,validation
1623,development
1630,validation
1632,development
1633,validation
1636,development
1641,validation
1642,validation
1647,development
1648,development
1652,validation
1656,validation
1657,validation
1662,validation
1666,validation
1668,validation
1671,validation
1672,validation
1673,validation
1674,validation
1685,validation
1688,validation
1689,validation
1694,development
1695,development
1696,development
1699,development
1700,development
1705,development
1706,development
1710,validation
1714,development
1716,development
1718,validation
1722,development
1724,validation
1726,validation
1729,validation
1730,development
1732,validation
1735,development
1737,development
1738,validation
1743,development
1745,validation
1752,development
1753,development
1759,validation
1762,development
1763,validation
1766,validation
1777,validation
1779,development
1783,validation
1785,validation
1793,validation
1799,validation
1800,validation
1802,validation
1803,development
1805,validation
1809,development
1812,validation
1816,development
1819,development
1820,validation
1821,development
1822,validation
1826,development
1832,development
1833,validation
1834,development
1835,development
1838,validation
1843,development
1848,development
1852,validation
1853,development
1854,validation
1855,development
1862,validation
1869,validation
1872,validation
1873,development
1874,development
1884,validation
1885,development
1886,development
1888,development
1891,validation
1892,development
1893,validation
1894,development
1896,validation
1899,validation
1900,validation
1901,validation
1903,development
1907,validation
1912,validation
1914,validation
1916,development
1926,development
1928,development
1930,validation
1931,validation
1932,development
1933,validation
1934,development
1935,validation
1937,validation
1938,development
1941,development
1944,development
1948,development
1949,validation
1950,development
1955,development
1959,development
1961,validation
1963,development
1965,validation
1966,validation
1973,development
1976,development
1978,validation
1986,validation
1988,development
1993,development
1994,validation
1995,validation
1996,validation
2000,development
2002,validation
2010,validation
2011,validation
2014,validation
2017,validation
2018,development
2020,validation
2026,validation
2028,validation
2034,validation
2036,validation
2040,development
2041,development
2044,validation
2052,development
2055,validation
2058,development
2061,development
2062,development
2064,validation
2066,validation
2067,validation
2068,development
2072,validation
2082,development
2086,development
2106,validation
2112,development
2117,development
2130,validation
2132,development
2133,development
2134,development
2136,development
2139,validation
2147,development
2148,development
2149,development
2153,development
2154,development
2157,validation
