caseid,status
1,cached
4,ok_2096w
5,ok_2151w
10,ok_2096w
12,ok_3118w
16,ok_1284w
17,ok_2034w
19,ok_2755w
22,ok_1435w
25,ok_1481w
27,ok_1784w
29,ok_2137w
34,ok_2375w
41,ok_1180w
43,ok_1476w
50,ok_1596w
52,ok_1556w
53,ok_1351w
55,ok_2171w
58,ok_1470w
60,ok_1426w
61,ok_926w
64,ok_1440w
65,ok_1282w
66,ok_924w
70,ok_1412w
79,ok_2015w
83,ok_1936w
84,ok_1769w
87,ok_1120w
89,ok_1980w
94,ok_2888w
96,ok_3795w
97,ok_1544w
98,ok_721w
101,ok_1316w
105,ok_1817w
108,ok_954w
110,ok_765w
111,ok_1725w
112,ok_1071w
114,ok_1636w
116,ok_1275w
117,ok_1141w
118,ok_2980w
119,ok_1573w
124,ok_926w
125,ok_1991w
135,ok_1214w
137,ok_722w
138,ok_1164w
140,ok_2045w
142,ok_1644w
143,ok_1202w
146,ok_1644w
148,ok_1283w
156,ok_2727w
158,ok_2560w
161,ok_1801w
166,ok_1957w
175,ok_1189w
177,ok_2192w
178,ok_1327w
181,ok_1395w
184,ok_3462w
190,ok_1591w
191,ok_988w
195,ok_2066w
198,ok_1500w
202,ok_3091w
203,ok_668w
206,ok_991w
208,ok_907w
210,ok_1742w
222,ok_843w
229,ok_1772w
232,ok_1404w
233,ok_1460w
234,ok_1549w
236,ok_2092w
237,ok_2243w
239,ok_1307w
244,ok_1219w
250,ok_1192w
251,ok_2551w
252,ok_1929w
256,ok_1434w
261,ok_894w
263,ok_961w
266,ok_1786w
268,ok_584w
269,ok_1107w
279,ok_768w
283,ok_1435w
284,ok_1712w
286,ok_1299w
287,ok_952w
295,ok_1245w
300,ok_996w
303,ok_1759w
304,ok_1400w
306,ok_2059w
308,ok_1947w
309,ok_1082w
312,ok_1480w
321,ok_1393w
323,ok_1051w
327,ok_2187w
330,ok_933w
337,ok_841w
343,ok_1160w
345,ok_2154w
348,ok_1257w
349,ok_2436w
355,ok_1011w
357,ok_626w
362,ok_1874w
363,ok_1738w
367,ok_1511w
369,ok_1571w
370,ok_615w
375,ok_2305w
382,ok_1842w
383,ok_942w
384,ok_987w
387,ok_826w
388,ok_1384w
390,ok_2263w
397,ok_2418w
398,ok_1125w
404,ok_823w
406,ok_1960w
409,ok_1313w
415,ok_836w
417,ok_1892w
418,ok_1931w
427,ok_1017w
431,ok_1663w
439,ok_1021w
441,ok_1247w
442,ok_899w
445,ok_1928w
448,ok_1491w
449,ok_1027w
451,ok_1687w
452,ok_1253w
462,ok_1264w
466,ok_1364w
469,ok_1867w
472,ok_2535w
476,ok_1681w
486,ok_1941w
490,ok_2271w
492,ok_2615w
499,ok_2106w
505,ok_1364w
512,ok_1768w
516,ok_1354w
519,ok_1602w
520,ok_1771w
521,ok_1051w
526,ok_2198w
530,ok_1289w
535,ok_797w
536,ok_802w
541,ok_768w
543,ok_957w
544,ok_1064w
550,ok_991w
551,ok_1371w
553,ok_2228w
559,ok_1915w
562,ok_1009w
564,ok_1925w
567,ok_1497w
568,ok_2167w
573,ok_1119w
576,ok_929w
577,ok_1288w
582,ok_1252w
584,ok_1931w
587,ok_1236w
590,ok_695w
594,ok_608w
610,ok_1006w
611,ok_1869w
612,ok_1073w
616,ok_1034w
617,ok_1091w
620,ok_1684w
627,ok_1202w
629,ok_3006w
631,ok_1906w
644,ok_1999w
649,ok_1445w
650,ok_901w
652,ok_1773w
655,ok_1626w
659,ok_1572w
663,ok_1034w
665,ok_1977w
666,ok_1761w
671,ok_1735w
676,ok_1711w
680,ok_656w
683,ok_1384w
687,ok_965w
691,ok_1986w
697,ok_1589w
698,ok_1265w
702,ok_1821w
703,ok_1186w
706,ok_1912w
711,ok_2154w
719,ok_1813w
721,ok_1251w
722,ok_1780w
724,ok_660w
725,ok_1859w
728,ok_2018w
730,ok_1264w
733,ok_1482w
734,ok_2086w
739,ok_1041w
740,ok_913w
742,ok_1836w
743,ok_2199w
748,ok_1871w
750,ok_4646w
751,ok_1860w
752,ok_1679w
755,ok_888w
758,ok_812w
762,ok_1091w
763,ok_2376w
764,ok_1884w
767,ok_1587w
774,ok_2126w
775,ok_2409w
776,ok_1428w
779,ok_2070w
781,ok_707w
783,ok_2122w
788,ok_862w
792,ok_1082w
793,ok_1374w
794,ok_1112w
795,ok_1540w
797,ok_709w
800,ok_1302w
802,ok_1675w
807,ok_1452w
808,ok_1628w
813,ok_1458w
814,ok_2106w
815,ok_1871w
818,ok_3567w
819,ok_1278w
822,ok_2033w
830,ok_1216w
831,ok_1193w
833,ok_1428w
843,ok_2198w
844,ok_2618w
846,ok_1290w
847,ok_2064w
851,ok_1960w
852,ok_829w
853,ok_1154w
859,ok_1946w
864,ok_675w
865,ok_1359w
866,ok_1159w
869,ok_2569w
870,ok_1979w
871,ok_1553w
872,ok_1907w
876,ok_1241w
879,ok_660w
880,ok_802w
883,ok_1867w
885,ok_2040w
