caseid,n_gc_windows,NCCI_window_mean,NCCI_window_std,n_events_strict
1,364,0.15350305130869168,0.1050840784454483,16
4,679,0.31729901499898716,0.13264790660618195,43
5,697,0.21224589003697802,0.09368058613163191,40
10,679,0.7830338376404677,0.08830498958580357,88
12,1020,0.3192705927863033,0.13883867831892463,77
16,408,0.25826203849556256,0.13235775366540442,34
17,658,0.31157809949239373,0.1594254517690348,30
19,899,0.2581343786542139,0.11713446876249019,36
22,459,0.29682226149146124,0.18948859272173066,1
25,474,0.22263916184714536,0.13695630795910504,32
27,575,0.33712660193385063,0.136026033210905,28
29,693,0.2786140258485425,0.1439230932796328,24
34,772,0.28492178848004646,0.12310308409428637,53
41,374,0.4591148701356229,0.13883222609331847,1
43,472,0.2268185573163774,0.11172414866546398,24
50,512,0.3760911836078816,0.1988059481617897,16
52,499,0.6197167078637369,0.18861450253056392,9
53,431,0.2636839317293743,0.12111618712404436,39
55,704,0.29403829481416294,0.14324161982953318,86
58,470,0.3722899206867667,0.18000251063621875,38
60,456,0.6868461598189994,0.15385608083806893,26
61,289,0.4299808662756542,0.19398424326762875,44
64,460,0.2639842867396055,0.14221278003330215,66
65,408,0.4759527203210968,0.14679679596625805,47
66,288,0.34891385089614374,0.13757221273907522,29
70,451,0.4294033311324995,0.16873806774943853,29
79,652,0.2580940306790241,0.11171914735696489,61
83,626,0.17147389125041856,0.062483532463187406,101
84,570,0.2498584874564744,0.11435167735356158,16
87,354,0.2669259349219315,0.12712369588261643,23
89,640,0.3088515539563935,0.14545743044231652,61
94,943,0.3358221045012634,0.15210090770236656,30
96,1245,0.2617410454972359,0.09615380308462033,97
97,495,0.32883530850848663,0.134863686811716,103
98,221,0.34388576138118865,0.18603279350432125,60
101,419,0.5904783884265288,0.16079665923175648,42
105,586,0.3606353742241193,0.13532293864740197,49
108,298,0.27679910727330637,0.13398298523933402,15
110,235,0.6111360117698287,0.17142584614598816,20
111,555,0.20468629805619712,0.114392578506365,29
112,337,0.36360100789080213,0.1663272389267636,12
114,526,0.37871222157339507,0.16891660650866425,22
116,405,0.3408873706681889,0.1726571422992204,12
117,361,0.4880684317864981,0.17798876520204507,45
118,974,0.21382553278983493,0.0855274365983518,98
119,505,0.25763232420315124,0.1396559578604947,17
124,289,0.5097670845426163,0.22697414739792054,14
125,644,0.3607860682315054,0.13904571721912096,30
135,385,0.36788164113303956,0.13338211844683803,39
137,221,0.4499163322527283,0.1746255372574231,17
138,368,0.34925568974609306,0.1522634410011992,14
